"CodigocompletoDane","MPIO","ano","poblacion","codigoanodane","cienmilhabitantes"
"5837000","Turbo","2005",121919,"20055837000",0.121919
"5842000","Uramita","2005",8304,"20055842000",0.008304
"5847000","Urrao","2005",38923,"20055847000",0.038923
"5854000","Valdivia","2005",17290,"20055854000",0.01729
"5856000","Valparaíso","2005",6324,"20055856000",0.006324
"5858000","Vegachí","2005",11293,"20055858000",0.011293
"5861000","Venecia","2005",13419,"20055861000",0.013419
"5873000","Vigía del Fuerte","2005",5487,"20055873000",0.005487
"5885000","Yalí","2005",7734,"20055885000",0.007734
"5887000","Yarumal","2005",41240,"20055887000",0.04124
"5890000","Yolombó","2005",20025,"20055890000",0.020025
"5893000","Yondó","2005",15097,"20055893000",0.015097
"5895000","Zaragoza","2005",26959,"20055895000",0.026959
"8001000","Barranquilla","2005",1146359,"20058001000",1.146359
"8078000","Baranoa","2005",51571,"20058078000",0.051571
"8137000","Campo de La Cruz","2005",19107,"20058137000",0.019107
"8141000","Candelaria","2005",12035,"20058141000",0.012035
"8296000","Galapa","2005",32012,"20058296000",0.032012
"8372000","Juan de Acosta","2005",14578,"20058372000",0.014578
"8421000","Luruaco","2005",23558,"20058421000",0.023558
"8433000","Malambo","2005",101280,"20058433000",0.10128
"8436000","Manatí","2005",13810,"20058436000",0.01381
"8520000","Palmar de Varela","2005",23674,"20058520000",0.023674
"8549000","Piojó","2005",5017,"20058549000",0.005017
"8558000","Polonuevo","2005",13897,"20058558000",0.013897
"8560000","Ponedera","2005",18954,"20058560000",0.018954
"8573000","Puerto Colombia","2005",27837,"20058573000",0.027837
"8606000","Repelón","2005",22873,"20058606000",0.022873
"8634000","Sabanagrande","2005",25399,"20058634000",0.025399
"8638000","Sabanalarga","2005",86631,"20058638000",0.086631
"8675000","Santa Lucía","2005",12418,"20058675000",0.012418
"8685000","Santo Tomás","2005",23874,"20058685000",0.023874
"8758000","Soledad","2005",461851,"20058758000",0.461851
"8770000","Suan","2005",9702,"20058770000",0.009702
"8832000","Tubará","2005",10915,"20058832000",0.010915
"8849000","Usiacurí","2005",8804,"20058849000",0.008804
"11001000","Bogotá, D.C.","2005",6840116,"200511001000",6.840116
"13001000","Cartagena","2005",892545,"200513001000",0.892545
"13006000","Achí","2005",19644,"200513006000",0.019644
"13030000","Altos del Rosario","2005",11357,"200513030000",0.011357
"13042000","Arenal","2005",15414,"200513042000",0.015414
"13052000","Arjona","2005",60407,"200513052000",0.060407
"13062000","Arroyohondo","2005",8804,"200513062000",0.008804
"13074000","Barranco de Loba","2005",15148,"200513074000",0.015148
"13140000","Calamar","2005",20722,"200513140000",0.020722
"13160000","Cantagallo","2005",7811,"200513160000",0.007811
"13188000","Cicuco","2005",11094,"200513188000",0.011094
"13212000","Córdoba","2005",13113,"200513212000",0.013113
"13222000","Clemencia","2005",11714,"200513222000",0.011714
"13244000","El Carmen de Bolívar","2005",67952,"200513244000",0.067952
"13248000","El Guamo","2005",7826,"200513248000",0.007826
"13268000","El Peñón","2005",7807,"200513268000",0.007807
"13300000","Hatillo de Loba","2005",11470,"200513300000",0.01147
"13430000","Magangué","2005",121515,"200513430000",0.121515
"13433000","Mahates","2005",22929,"200513433000",0.022929
"13440000","Margarita","2005",9406,"200513440000",0.009406
"13442000","María La Baja","2005",45395,"200513442000",0.045395
"13458000","Montecristo","2005",16973,"200513458000",0.016973
"13468000","Mompós","2005",41565,"200513468000",0.041565
"13473000","Morales","2005",18523,"200513473000",0.018523
"13490000","Norosí (1)","2005",0,"200513490000",0
"13549000","Pinillos","2005",22801,"200513549000",0.022801
"13580000","Regidor","2005",8796,"200513580000",0.008796
"13600000","Río Viejo (1)(3)","2005",21060,"200513600000",0.02106
"13620000","San Cristóbal","2005",6561,"200513620000",0.006561
"13647000","San Estanislao","2005",15312,"200513647000",0.015312
"13650000","San Fernando","2005",12965,"200513650000",0.012965
"13654000","San Jacinto","2005",21593,"200513654000",0.021593
"13655000","San Jacinto del Cauca","2005",10935,"200513655000",0.010935
"13657000","San Juan Nepomuceno","2005",32514,"200513657000",0.032514
"13667000","San Martín de Loba","2005",14248,"200513667000",0.014248
"13670000","San Pablo","2005",27010,"200513670000",0.02701
"13673000","Santa Catalina","2005",12058,"200513673000",0.012058
"13683000","Santa Rosa","2005",18195,"200513683000",0.018195
"13688000","Santa Rosa del Sur","2005",34015,"200513688000",0.034015
"13744000","Simití","2005",18418,"200513744000",0.018418
"13760000","Soplaviento","2005",8281,"200513760000",0.008281
"13780000","Talaigua Nuevo","2005",11086,"200513780000",0.011086
"13810000","Tiquisio","2005",18786,"200513810000",0.018786
"13836000","Turbaco","2005",63046,"200513836000",0.063046
"13838000","Turbaná","2005",13493,"200513838000",0.013493
"13873000","Villanueva","2005",17576,"200513873000",0.017576
"13894000","Zambrano","2005",11110,"200513894000",0.01111
"15001000","Tunja","2005",154096,"200515001000",0.154096
"15022000","Almeida","2005",2294,"200515022000",0.002294
"15047000","Aquitania","2005",16592,"200515047000",0.016592
"15051000","Arcabuco","2005",5198,"200515051000",0.005198
"15087000","Belén","2005",9041,"200515087000",0.009041
"15090000","Berbeo","2005",1913,"200515090000",0.001913
"15092000","Betéitiva","2005",2479,"200515092000",0.002479
"15097000","Boavita","2005",8796,"200515097000",0.008796
"15104000","Boyacá","2005",5074,"200515104000",0.005074
"15106000","Briceño","2005",2748,"200515106000",0.002748
"15109000","Buenavista","2005",5889,"200515109000",0.005889
"15114000","Busbanzá","2005",885,"200515114000",0.000885
"15131000","Caldas","2005",4050,"200515131000",0.00405
"15135000","Campohermoso","2005",4065,"200515135000",0.004065
"15162000","Cerinza","2005",4312,"200515162000",0.004312
"15172000","Chinavita","2005",3741,"200515172000",0.003741
"15176000","Chiquinquirá","2005",55786,"200515176000",0.055786
"15180000","Chiscas","2005",5372,"200515180000",0.005372
"15183000","Chita","2005",10844,"200515183000",0.010844
"15185000","Chitaraque","2005",6711,"200515185000",0.006711
"15187000","Chivatá","2005",5049,"200515187000",0.005049
"15189000","Ciénega","2005",5242,"200515189000",0.005242
"15204000","Cómbita","2005",12981,"200515204000",0.012981
"15212000","Coper","2005",4201,"200515212000",0.004201
